retailer_feedback,city,store_type,retailer_id,visit_date,consumer_demographic
Customer wanted lime pickle flavor chips. Described exact taste they want in detail.,Bhopal,Petrol-pump Store,RTL-0003,2026-05-14,urban youth
Customer said bigger pack wasteful for solo eating. Small pack is perfect portion for one.,Mumbai,Kirana Store,RTL-0011,2026-04-06,middle-income families
Retailer said normal salt-and-pepper chips not moving. Fusion flavors going fast.,Jaipur,Hypermarket,RTL-0008,2026-05-13,teenagers
Customers asking for dipping sauces along with chips. Western eating style clear.,Delhi,College Canteen,RTL-0006,2025-04-14,college students
"Customers asking for village-style snacks. Want rustic, handmade-looking packaging.",Chandigarh,Kirana Store,RTL-0004,2025-02-02,middle-income families
"Owner told me yoga class nearby sending customers. All asking for light, natural snacks.",Jaipur,Kirana Store,RTL-0008,2025-10-15,working professionals
"Retailer said if we don't launch extra hot soon, he'll give that shelf to competitor.",Delhi,College Canteen,RTL-0006,2025-09-03,teenagers
Customer asking if roasted peanuts qualify as protein snack. Wants healthy option.,Hyderabad,Supermarket,RTL-0007,2025-09-24,working professionals
Customer complained our gift packs look ordinary compared to competitor. Lost the sale.,Nagpur,Kirana Store,RTL-0012,2025-05-21,premium shoppers
Owner near tech park said project completion celebrations include snack gifting internally.,Bhopal,Supermarket,RTL-0003,2026-02-10,middle-income families
Customer asked for 10-pack multipack of single-serves. Wants weekly office snack supply.,Bangalore,Convenience Store,RTL-0002,2025-11-25,college students
Retailer told me small packs drive more brand trials than any sampling activity.,Nagpur,General Store,RTL-0012,2025-07-22,college students
Kids and teenagers asking for extra sour options. Said regular flavors boring.,Bangalore,Supermarket,RTL-0002,2025-07-03,urban youth
Customer asked if our product uses palm oil. Environmental concern driving plant-based choice.,Chandigarh,Departmental Store,RTL-0004,2025-12-21,health-conscious adults
Retailer said plant-based demand strongest among young educated women in this area.,Ahmedabad,Convenience Store,RTL-0001,2026-01-19,health-conscious adults
Retailer near nature cure center said their visitors only buy plant-based without exception.,Lucknow,Departmental Store,RTL-0010,2025-06-20,homemakers
Owner said traditional mixture buyers are old generation. New customers want western.,Kolkata,College Canteen,RTL-0009,2025-05-11,college students
"Owner told me during salary delay week, customers only buy rupees 5 packs. Very visible shift.",Nagpur,Petrol-pump Store,RTL-0012,2025-11-01,rural consumers
"Asked retailer what's trending this month - first thing he said was spicy, without thinking.",Mumbai,Departmental Store,RTL-0011,2025-06-24,college students
Customer asked for variety gift pack with 6 different flavors inside. Couldn't provide.,Hyderabad,Convenience Store,RTL-0007,2025-08-28,working professionals
Viral reel showing snack hack - customers came same evening asking for specific product.,Bhopal,General Store,RTL-0003,2025-01-05,teenagers
"Owner just chatted casually, no specific consumer trend mentioned",Surat,General Store,RTL-0015,2025-11-02,senior citizens
Doctor clinic next door sending patients - all asking for low sugar snack options.,Surat,General Store,RTL-0015,2025-07-09,senior citizens
Retailer said yogurt and tamarind combo flavor is new experimental request from customers.,Bangalore,Convenience Store,RTL-0002,2025-04-27,teenagers
Customer comparing our product to an international brand. Said theirs tastes more western.,Ahmedabad,Kirana Store,RTL-0001,2025-05-23,school children
Fitness group in area active on WhatsApp - owner gets recommendations flow from there.,Bhopal,Supermarket,RTL-0003,2026-03-29,college students
Owner near airport said travelers want small packs within carry-on limits.,Ahmedabad,General Store,RTL-0001,2025-11-06,urban youth
Owner near coworking space said freelancers snacking all day. Convenience format perfect.,Hyderabad,College Canteen,RTL-0007,2025-04-18,urban youth
Festival order came for 150 pieces with branding on pack. Big opportunity missed.,Bangalore,Kirana Store,RTL-0002,2026-03-14,homemakers
Owner told me tangy snacks moving fast near movie theaters. People eating during interval.,Kolkata,Supermarket,RTL-0009,2025-11-29,teenagers
Owner said government offices also started gifting snack hampers during national celebrations.,Delhi,Wholesale Depot,RTL-0006,2025-02-22,working professionals
Health-conscious buyers checking expiry and ingredients both. Very careful now.,Nagpur,Kirana Store,RTL-0012,2025-02-10,homemakers
Owner switched prime shelf position to spicy variants. Said mild doesn't justify the space.,Kolkata,Convenience Store,RTL-0009,2025-07-24,college students
Owner told me green mango flavor appeals to all ages. Widest appeal in his store.,Mumbai,Convenience Store,RTL-0011,2025-01-02,urban youth
Retailer asked me if brand runs influencer campaigns. Said competitor does and it works.,Kolkata,Hypermarket,RTL-0009,2025-03-26,college students
Customers asking if we have portion-sized packs. Said big pack goes stale before finishing.,Kolkata,Supermarket,RTL-0009,2026-02-07,working professionals
Corporate health drive - office employees checking sugar. Retailer seeing pattern.,Hyderabad,General Store,RTL-0007,2025-02-09,working professionals
Owner said regional snacks gifted during festival by many customers. Local pride visible.,Lucknow,Departmental Store,RTL-0010,2026-03-09,homemakers
"Customers only buying small Rs.5 packs, big packs not selling at all.",Pune,Kirana Store,RTL-2001,2026-02-14,middle-income families
Young office crowd asking for protein bars and high protein namkeen daily.,Bangalore,Supermarket,RTL-2002,2026-03-09,working professionals
