record_id,visit_date,month,week_number,quarter,season,city,store_type,retailer_id,salesperson_name,consumer_demographic,product_category,retailer_feedback,trend_signal_type,trend_label
CTR-0001,2025-02-18,2,8,Q1,Winter,Bhopal,General Store,RTL-0039,Sunita Verma,teenagers,makhana,Retailer says mild variants not moving at all. Customers asking for extra spicy only.,flavor_trend,rising_spicy_flavor_preference
CTR-0002,2025-02-14,2,7,Q1,Winter,Nagpur,Medical Store,RTL-0037,Vikram Iyer,urban youth,chips,Owner told me 3-4 customers daily come asking for ghost pepper flavor. We don't have it.,flavor_trend,rising_spicy_flavor_preference
CTR-0003,2025-08-06,8,32,Q3,Monsoon,Kochi,Convenience Store,RTL-0011,Deepa Nair,office-goers,makhana,Spicy namkeen sells out in 2 days. Mild one sitting for 3 weeks. Clear trend here.,flavor_trend,rising_spicy_flavor_preference
CTR-0004,2026-05-01,5,18,Q2,Summer,Mumbai,Convenience Store,RTL-0004,Arjun Mehta,urban youth,rice crisps,College boys near hostel asking for highest spice level available. Regular not enough.,flavor_trend,rising_spicy_flavor_preference
CTR-0005,2025-01-24,1,4,Q1,Winter,Mumbai,Petrol-pump Store,RTL-0016,Meena Reddy,urban youth,puffs,Retailer complained we don't have extra hot variant. Competitor's schezwan puff is selling fast.,flavor_trend,rising_spicy_flavor_preference
CTR-0006,2025-03-02,3,9,Q1,Holi,Vizag,Petrol-pump Store,RTL-0034,Anjali Rao,teenagers,makhana,Customers checking spice rating on back of pack first before buying anything.,flavor_trend,rising_spicy_flavor_preference
CTR-0007,2025-10-20,10,43,Q4,Diwali,Patna,Kirana Store,RTL-0068,Rajesh Gupta,young professionals,rice crisps,"Owner said since new biryani stall opened, customers taste for spice has gone up a lot.",flavor_trend,rising_spicy_flavor_preference
CTR-0008,2025-10-16,10,42,Q4,Diwali,Pune,Medical Store,RTL-0090,Suresh Patel,young professionals,namkeen,"I asked retailer why mild SKU not moving - said customers find it boring, want strong flavor.",flavor_trend,rising_spicy_flavor_preference
CTR-0009,2025-08-07,8,32,Q3,Monsoon,Mumbai,Wholesale Depot,RTL-0008,Vikram Iyer,urban youth,makhana,"Weekend rush mostly students, all asking spicy. Mild packs returned to distributor last week.",flavor_trend,rising_spicy_flavor_preference
CTR-0010,2025-05-08,5,19,Q2,Summer,Bhopal,Wholesale Depot,RTL-0082,Harish Babu,office-goers,popcorn,Retailer put up hand-written board saying spicy in stock - says that's what brings people in.,flavor_trend,rising_spicy_flavor_preference
